pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
0,0,0,0,0,0,0,0.403
0,0,0,0,0,0,0,0.403
0,0,-3,-3,0,0,0,0.403
-4,-5,-166,-213,0,0,0,0.403
-16,-19,-280,-301,1,0.277778,1.81818,0.403
-43,-44,-369,-359,1,0.277778,1.81818,0.385
-57,-59,-355,-344,1,0.277778,1.81818,0.385
-83,-84,-301,-315,1,0.277778,1.81818,0.361
-106,-113,-283,-300,1,0.277778,1.81818,0.348
-128,124,-288,-314,0,0,0,0.348
113,105,-298,-315,0,0,0,0.319
92,85,-301,-320,0,0,0,0.319
74,65,-310,-313,0,0,0,0.319
60,52,-312,-317,-1,-0.277778,-1.81818,0.298
41,33,-311,-317,-1,-0.277778,-1.81818,0.298
30,21,-315,-315,-1,-0.277778,-1.81818,0.298
8,-1,-316,-297,-1,-0.277778,-1.81818,0.277
-10,-21,-318,-293,-1,-0.277778,-1.81818,0.277
-33,-39,-317,-294,0,0,0,0.26
-54,-59,-310,-295,0,0,0,0.241
-73,-76,-310,-297,0,0,0,0.241
-87,-93,-319,-312,1,0.277778,1.81818,0.241
-107,-110,-318,-320,1,0.277778,1.81818,0.205
-124,-127,-315,-316,1,0.277778,1.81818,0.205
117,113,-299,-312,1,0.277778,1.81818,0.179
99,95,-294,-318,1,0.277778,1.81818,0.179
83,75,-292,-313,1,0.277778,1.81818,0.179
64,58,-292,-314,1,0.277778,1.81818,0.176
46,38,-297,-312,1,0.277778,1.81818,0.148
25,15,-298,-314,0,0,0,0.148
8,-5,-296,-314,0,0,0,0.148
-14,-25,-300,-317,0,0,0,0.121
-27,-44,-306,-313,-1,-0.277778,-1.81818,0.121
-48,-58,-312,-316,-1,-0.277778,-1.81818,0.099
-68,-81,-312,-310,-1,-0.277778,-1.81818,0.099
-94,-106,-321,-292,-1,-0.277778,-1.81818,0.07
-112,-123,-312,-291,-1,-0.277778,-1.81818,0.07
122,113,-313,-299,0,0,0,0.048
110,103,-320,-294,0,0,0,0.048
88,82,-315,-299,1,0.277778,1.81818,0.041
71,65,-314,-310,1,0.277778,1.81818,0.041
47,39,-314,-322,1,0.277778,1.81818,0.02
30,24,-302,-316,1,0.277778,1.81818,0.02
-29,-41,0,0,3,0.833333,5.20155,0.099
-29,-41,0,0,5,1.38889,8.35758,0.249
-30,-42,-32,-212,4,1.11111,6.80481,0.249
-44,-57,-266,-339,4,1.11111,6.80481,0.375
-67,-84,-297,-332,5,1.38889,8.35758,0.375
-91,-111,-266,-312,1,0.277778,1.81818,0.499
120,92,-260,-312,-5,-1.38889,-8.35758,0.594
104,73,-288,-314,-5,-1.38889,-8.35758,0.594
90,58,-301,-315,-7,-1.94444,-11.254,0.636
79,47,-314,-265,-8,-2.22222,-12.6345,0.636
61,33,-313,-220,-8,-2.22222,-12.6345,0.662
38,16,-281,-222,-9,-2.5,-13.99,0.662
26,6,-298,-260,-10,-2.77778,-15.2774,0.658
0,-16,-326,-250,-9,-2.5,-13.99,0.658
-18,-29,-317,-230,-9,-2.5,-13.99,0.634
-39,-45,-325,-228,-5,-1.38889,-8.35758,0.634
-60,-59,-314,-230,-4,-1.11111,-6.80481,0.607
-84,-79,-319,-254,-2,-0.555556,-3.55942,0.607
-105,-93,-310,-262,-2,-0.555556,-3.55942,0.607
-125,-113,-320,-282,-1,-0.277778,-1.81818,0.607
114,-126,-315,-287,0,0,0,0.572
95,113,-317,-287,0,0,0,0.572
77,96,-318,-303,1,0.277778,1.81818,0.556
55,75,-319,-311,1,0.277778,1.81818,0.556
33,52,-310,-320,1,0.277778,1.81818,0.527
