pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
75,-72,0,0,-2,0,0,0.545
75,-72,0,0,-2,0,0,0.545
68,-80,-251,-281,-1,0.277778,1.81818,0.545
45,-103,-348,-340,-1,0.277778,1.81818,0.545
26,-123,-366,-355,0,0.555556,3.55942,0.545
6,113,-306,-320,0,0.555556,3.55942,0.518
-14,92,-289,-307,0,0.555556,3.55942,0.495
-35,69,-273,-307,0,0.555556,3.55942,0.495
-44,60,-275,-316,-1,0.277778,1.81818,0.495
-69,31,-293,-317,-1,0.277778,1.81818,0.467
-79,20,-296,-312,-1,0.277778,1.81818,0.262
-104,-7,-293,-318,-2,0,0,0.262
-116,-19,-297,-312,-2,0,0,0.262
120,-41,-299,-314,-2,0,0,0.43
104,-57,-310,-318,-3,-0.277778,-1.81818,0.43
93,-72,-313,-312,-3,-0.277778,-1.81818,0.403
67,-95,-314,-315,-3,-0.277778,-1.81818,0.403
56,-105,-318,-295,-3,-0.277778,-1.81818,0.403
34,-125,-313,-297,-2,0,0,0.386
22,119,-311,-290,-2,0,0,0.386
2,101,-318,-291,-2,0,0,0.36
-10,88,-315,-308,-1,0.277778,1.81818,0.36
-28,71,-316,-314,-1,0.277778,1.81818,0.346
-52,47,-303,-313,-1,0.277778,1.81818,0.346
-64,34,-294,-316,-1,0.277778,1.81818,0.346
-85,12,-294,-312,-1,0.277778,1.81818,0.323
-96,-2,-295,-309,-1,0.277778,1.81818,0.323
-116,-22,-292,-315,-2,0,0,0.325
-127,-33,-294,-315,-2,0,0,0.325
112,-52,-299,-323,-2,0,0,0.293
84,-79,-318,-317,-2,0,0,0.293
71,-94,-316,-313,-2,0,0,0.251
47,-118,-316,-320,-2,0,0,0.251
34,126,-321,-314,-2,0,0,0.251
10,101,-312,-319,-2,0,0,0.23
-5,87,-313,-310,-2,0,0,0.23
-21,68,-319,-316,-2,0,0,0.23
-42,50,-314,-321,-2,0,0,0.207
-58,34,-317,-317,-2,0,0,0.18
-78,14,-316,-313,-2,0,0,0.18
-92,1,-311,-317,-2,0,0,0.18
-119,-31,-314,-313,-2,0,0,0.17
119,-45,-314,-316,-2,0,0,0.17
108,-57,-317,-312,-2,0,0,0.139
86,-78,-311,-314,-2,0,0,0.139
68,-105,-320,-313,-2,0,0,0.109
39,-125,-311,-316,-1,0.277778,1.81818,0.109
15,106,-316,-316,-2,0,0,0.086
-3,89,-312,-318,-1,0.277778,1.81818,0.086
-30,62,-315,-310,-1,0.277778,1.81818,0.061
-53,29,-295,-312,-1,0.277778,1.81818,0.04
-78,11,-295,-308,-1,0.277778,1.81818,0.04
-101,-14,-296,-314,-2,0,0,0.024
-125,-39,-291,-313,-2,0,0,0.024
107,-65,-294,-318,-2,0,0,0.006
96,-76,-309,-317,-3,-0.277778,-1.81818,0.006
43,-128,0,0,11,3.61111,18.9516,0.024
43,-128,0,0,24,7.22222,32.3375,0.024
43,-128,0,-19,34,10,41.2785,0.105
34,114,-228,-354,40,11.6667,46.5476,0.215
8,67,-194,-290,43,12.5,49.2201,0.232
-15,32,-146,-331,41,11.9444,47.4405,0.232
-22,11,-113,-305,38,11.1111,44.7865,0.176
