pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
-9,61,0,0,-3,0,0,0.359
-9,61,0,0,-3,0,0,0.359
-9,60,-2,-2,-3,0,0,0.359
-21,48,-248,-272,-3,0,0,0.359
-33,36,-345,-362,-3,0,0,0.359
-59,1,-355,-343,-3,0,0,0.331
-88,-18,-327,-317,-3,0,0,0.331
-103,-39,-316,-311,-3,0,0,0.306
-126,-57,-306,-305,-3,0,0,0.306
117,-70,-313,-315,-2,0.277778,1.81818,0.283
91,-96,-321,-314,-2,0.277778,1.81818,0.283
79,-107,-312,-317,-2,0.277778,1.81818,0.283
59,127,-300,-313,-2,0.277778,1.81818,0.242
47,114,-296,-315,-2,0.277778,1.81818,0.242
31,92,-293,-313,-2,0.277778,1.81818,0.242
11,77,-293,-315,-2,0.277778,1.81818,0.242
-4,56,-290,-322,-3,0,0,0.222
-29,33,-294,-316,-3,0,0,0.222
-41,20,-303,-308,-4,-0.277778,-1.81818,0.222
-61,-2,-310,-320,-4,-0.277778,-1.81818,0.203
-82,-21,-318,-307,-5,-0.555556,-3.55942,0.18
-101,-40,-318,-299,-4,-0.277778,-1.81818,0.18
-125,-69,-313,-293,-4,-0.277778,-1.81818,0.153
105,-86,-317,-290,-3,0,0,0.153
80,-109,-319,-294,-3,0,0,0.138
66,-122,-323,-306,-2,0.277778,1.81818,0.138
51,118,-316,-312,-2,0.277778,1.81818,0.117
27,96,-314,-311,-2,0.277778,1.81818,0.117
13,78,-299,-315,-2,0.277778,1.81818,0.117
-9,58,-306,-319,-2,0.277778,1.81818,0.086
-21,45,-288,-311,-2,0.277778,1.81818,0.086
-41,24,-285,-311,-2,0.277778,1.81818,0.067
-55,3,-294,-315,-3,0,0,0.067
-75,-13,-295,-315,-3,0,0,0.045
-87,-27,-296,-319,-3,0,0,0.045
-105,-45,-310,-307,-3,0,0,0.024
-126,-66,-313,-316,-3,0,0,0.024
118,-80,-319,-318,-3,0,0,0.024
90,-106,-314,-319,-3,0,0,0.00700001
78,-118,-316,-310,-3,0,0,0.00700001
24,89,-5,0,-10,-1.94444,-11.254,0.091
24,89,0,0,-10,-1.94444,-11.254,0.091
23,89,-20,-94,-21,-5,-24.4869,0.091
7,77,-323,-243,-21,-5,-24.4869,0.171
-6,67,-356,-242,-31,-7.77778,-34.1744,0.171
-30,53,-345,-205,-31,-7.77778,-34.1744,0.319
-44,45,-327,-183,-46,-11.9444,-47.4405,0.176
-57,36,-313,-144,-46,-11.9444,-47.4405,0.176
-81,27,-310,-114,-47,-12.2222,-48.3333,0.176
-94,22,-263,-131,-51,-13.3333,-51.9261,0.176
-113,12,-302,-149,-51,-13.3333,-51.9261,0.171
125,4,-297,-111,-50,-13.0556,-51.0306,0.171
109,-1,-328,-101,-47,-12.2222,-48.3333,0.171
80,-10,-317,-102,-43,-11.1111,-44.7865,0.171
64,-15,-311,-98,-43,-11.1111,-44.7865,0.171
45,-21,-319,-104,-39,-10,-41.2785,0.428
34,-26,-316,-114,-35,-8.88889,-37.7596,0.428
14,-32,-313,-117,-35,-8.88889,-37.7596,0.401
1,-37,-318,-128,-30,-7.5,-33.2604,0.401
-15,-46,-316,-137,-27,-6.66667,-30.4597,0.392
-32,-52,-312,-137,-27,-6.66667,-30.4597,0.392
-43,-56,-320,-149,-22,-5.27778,-25.5253,0.392
-67,-69,-310,-160,-20,-4.72222,-23.4314,0.375
-82,-77,-311,-167,-17,-3.88889,-20.106,0.375
-106,-90,-304,-183,-17,-3.88889,-20.106,0.382
-117,-96,-312,-194,-13,-2.77778,-15.2774,0.382
120,-110,-317,-204,-10,-1.94444,-11.254,0.361
95,-125,-315,-206,-10,-1.94444,-11.254,0.361
78,118,-319,-238,-5,-0.555556,-3.55942,0.361
55,102,-318,-243,-5,-0.555556,-3.55942,0.341
41,89,-318,-278,-3,0,0,0.341
17,70,-321,-285,-3,0,0,0.319
1,54,-320,-312,-2,0.277778,1.81818,0.319
-20,32,-318,-314,-1,0.555556,3.55942,0.302
-37,14,-313,-320,-1,0.555556,3.55942,0.302
-58,-7,-297,-311,-1,0.555556,3.55942,0.283
-70,-18,-287,-315,-2,0.277778,1.81818,0.283
-94,-46,-276,-313,-2,0.277778,1.81818,0.261
-105,-58,-283,-315,-2,0.277778,1.81818,0.261
-123,-79,-288,-316,-2,0.277778,1.81818,0.233
116,-96,-287,-317,-3,0,0,0.233
100,-116,-296,-320,-4,-0.277778,-1.81818,0.214
78,120,-306,-313,-4,-0.277778,-1.81818,0.214
58,100,-311,-296,-4,-0.277778,-1.81818,0.19
39,81,-315,-298,-4,-0.277778,-1.81818,0.19
27,68,-316,-296,-4,-0.277778,-1.81818,0.19
3,48,-321,-297,-4,-0.277778,-1.81818,0.171
-15,32,-316,-296,-3,0,0,0.171
-34,14,-316,-298,-2,0.277778,1.81818,0.146
-50,-1,-311,-298,-2,0.277778,1.81818,0.146
-64,-21,-301,-307,-2,0.277778,1.81818,0.132
-87,-39,-301,-313,-2,0.277778,1.81818,0.132
-106,-59,-299,-318,-2,0.277778,1.81818,0.132
-123,-77,-292,-306,-2,0.277778,1.81818,0.105
121,-89,-293,-315,-2,0.277778,1.81818,0.105
105,-106,-290,-315,-2,0.277778,1.81818,0.079
89,-124,-289,-317,-3,0,0,0.079
68,109,-292,-317,-3,0,0,0.054
53,93,-296,-310,-3,0,0,0.054
39,79,-309,-315,-3,0,0,0.04
16,54,-311,-317,-3,0,0,0.04
-5,28,-316,-321,-3,0,0,0.024
-27,12,-316,-314,-3,0,0,0.024
-86,-59,0,0,12,4.16667,21.2415,0.031
-86,-59,-3,-2,12,4.16667,21.2415,0.031
-91,-69,-181,-303,25,7.77778,34.1744,0.187
-102,-87,-222,-360,39,11.6667,46.5476,0.187
-112,-103,-216,-344,49,14.4444,55.5669,0.187
-124,-125,-153,-310,55,16.1111,61.1604,0.537
127,119,-116,-304,55,16.1111,61.1604,0.537
123,100,-61,-317,61,17.7778,66.9278,0.52
120,82,-60,-315,62,18.0556,67.9111,0.52
115,60,-50,-313,62,18.0556,67.9111,0.491
112,38,-48,-318,63,18.3333,68.8995,0.491
109,15,-51,-314,67,19.4444,72.9137,0.485
106,0,-53,-320,67,19.4444,72.9137,0.485
103,-20,-45,-314,71,20.5556,75,0.474
101,-38,-38,-312,71,20.5556,75,0.474
101,-52,-18,-272,71,20.5556,75,0.474
99,-72,-62,-271,69,20,75,0.475
96,-84,-68,-327,67,19.4444,72.9137,0.475
93,-103,-64,-316,67,19.4444,72.9137,0.474
90,-118,-53,-317,64,18.6111,69.8828,0.474
88,122,-33,-316,57,16.6667,63.0513,0.485
85,95,-30,-318,52,15.2778,58.3435,0.485
83,80,-55,-315,47,13.8889,53.7471,0.493
79,60,-68,-324,47,13.8889,53.7471,0.493
75,43,-77,-319,43,12.7778,50.126,0.493
71,26,-87,-316,37,11.1111,44.7865,0.445
65,8,-97,-319,37,11.1111,44.7865,0.445
61,-5,-107,-310,33,10,41.2785,0.445
51,-29,-119,-301,30,9.16667,38.6429,0.422
45,-44,-127,-309,26,8.05556,35.0802,0.422
35,-67,-135,-315,24,7.5,33.2604,0.392
31,-78,-138,-323,21,6.66667,30.4597,0.392
21,-98,-157,-313,21,6.66667,30.4597,0.367
14,-112,-159,-323,17,5.55556,26.549,0.367
7,116,-159,-309,13,4.44444,22.3542,0.346
-8,102,-170,-313,13,4.44444,22.3542,0.346
-17,84,-178,-315,7,2.77778,15.2774,0.331
-32,60,-198,-316,7,2.77778,15.2774,0.331
-44,42,-219,-312,4,1.94444,11.254,0.331
-55,26,-236,-319,1,1.11111,6.80481,0.314
-67,12,-231,-320,1,1.11111,6.80481,0.314
-77,-5,-256,-318,-2,0.277778,1.81818,0.295
-95,-24,-268,-318,-2,0.277778,1.81818,0.295
-105,-37,-284,-320,-3,0,0,0.295
-121,-52,-293,-319,-4,-0.277778,-1.81818,0.285
121,-69,-296,-313,-4,-0.277778,-1.81818,0.285
107,-84,-314,-314,-4,-0.277778,-1.81818,0.285
90,-102,-318,-295,-4,-0.277778,-1.81818,0.249
71,-118,-313,-294,-4,-0.277778,-1.81818,0.249
42,112,-311,-295,-4,-0.277778,-1.81818,0.226
29,99,-314,-295,-4,-0.277778,-1.81818,0.226
10,81,-319,-291,-3,0,0,0.203
-6,67,-314,-293,-3,0,0,0.203
