pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante,reward,done
-3,-6,0,0,-1,0,-0.103481,0.555,0,0
-3,-6,0,0,-1,0,-0.103481,0.555,0,0
-3,-6,0,0,-1,0,-0.103481,0.555,0,0
-3,-6,0,0,-1,0,-0.103481,0.555,0,0
-4,-7,-118,-158,-1,0,4.73211,0.555,0,0
-21,-25,-239,-236,0,0,-0.318984,0.552,0,0
-32,-35,-289,-296,0,0,1.25484,0.552,0,0
-52,-55,-289,-294,1,0,1.87686,0.522,0,0
-65,-67,-265,-248,1,0,-1.41693,0.522,0,0
-85,-88,-250,-258,1,0,3.10109,0.484,0,0
-105,-113,-253,-258,1,0,6.21565,0.484,0,0
-123,-128,-257,-256,1,0,8.62659,0.468,0,0
107,104,-256,-262,1,0,0.909993,0.468,0,0
91,88,-252,-263,1,0,2.01858,0.453,0,0
71,64,-244,-277,1,0,4.1595,0.453,0,0
57,48,-247,-269,1,0,3.61311,0.417,0,0
45,36,-242,-262,0,0,2.88951,0.417,0,0
34,24,-242,-266,0,0,3.39354,0.404,0,0
21,8,-248,-262,0,0,2.10762,0.404,0,0
7,-6,-251,-264,-1,0,1.27591,0.387,0,0
-7,-19,-253,-264,-1,0,1.32117,0.387,0,0
-20,-32,-257,-267,-1,0,1.18918,0.387,0,0
-31,-44,-260,-267,-1,0,0.855491,0.373,0,0
-42,-55,-255,-263,-1,0,1.11086,0.373,0,0
-57,-71,-252,-259,-1,0,1.12535,0.359,0,0
-67,-83,-249,-258,-2,0,0.65341,0.359,0,0
-85,-100,-245,-260,-2,0,1.33769,0.341,0,0
-99,-115,-247,-259,-2,0,3.42836,0.341,0,0
-107,-124,-255,-264,-2,0,4.18589,0.341,0,0
-128,111,-255,-259,-2,0,12.6867,0.324,0,0
117,96,-247,-271,-2,0,1.21901,0.324,0,0
97,77,-240,-270,-2,0,2.12541,0.31,0,0
85,66,-248,-263,-2,0,1.16821,0.31,0,0
68,46,-246,-267,-3,0,1.34113,0.289,0,0
57,35,-251,-267,-3,0,0.982126,0.289,0,0
45,17,-252,-264,-3,0,0.336218,0.277,0,0
24,0,-249,-262,-3,0,0.0775696,0.277,0,0
7,-18,-252,-256,-3,0,-1.26091,0.254,0,0
-3,-28,-254,-264,-3,0,-0.224989,0.254,0,0
-17,-44,-257,-250,-4,0,-3.21715,0.275,0,0
-35,-60,-262,-254,-4,0,-3.27902,0.275,0,0
-49,-73,-270,-258,-3,0,-3.05955,0.275,0,0
-72,-95,-264,-253,-3,0,-2.72243,0.215,0,0
-84,-107,-267,-252,-3,0,-2.31077,0.215,0,0
-101,-123,-260,-249,-3,0,0.693052,0.19,0,0
-111,123,-257,-246,-3,0,6.16695,0.19,0,0
-126,109,-253,-251,-3,0,11.0194,0.178,0,0
116,95,-256,-256,-2,0,-0.975889,0.178,0,0
102,78,-244,-277,-2,0,2.52712,0.172,0,0
85,60,-242,-283,-3,0,2.76045,0.172,0,0
75,50,-253,-261,-3,0,0.380777,0.144,0,0
55,27,-249,-265,-4,0,0.316086,0.144,0,0
43,16,-248,-260,-4,0,-0.363062,0.144,0,0
22,-6,-255,-262,-4,0,-1.29805,0.123,0,0
13,-17,-253,-257,-4,0,-1.79579,0.123,0,0
-8,-37,-264,-251,-4,0,-4.11813,0.107,0,0
-20,-50,-266,-249,-3,0,-3.87542,0.107,0,0
-40,-69,-264,-250,-3,0,-3.26351,0.087,0,0
-51,-78,-268,-247,-3,0,-4.31242,0.087,0,0
-65,-94,-266,-248,-3,0,-3.65998,0.087,0,0
-89,-113,-263,-251,-2,0,-0.471797,0.062,0,0
-102,-125,-268,-243,-2,0,0.38444,0.047,0,0
-119,116,-266,-249,-2,0,7.69956,0.047,0,0
127,102,-263,-251,-1,0,-1.79769,0.047,0,0
109,87,-254,-255,-1,0,0.430189,0.033,0,0
95,73,-257,-258,-1,0,0.874862,0.033,0,0
71,51,-254,-263,-1,0,1.70768,0.02,0,0
61,36,-256,-259,-1,0,0.924603,0.02,0,0
42,20,-258,-262,-1,0,0,-0.000999996,0,1
17,-11,0,0,-5,0,-0.462214,0.101,0,0
17,-11,0,0,-6,0,-1.3541,0.101,0,0
17,-12,-43,-95,-3,0,4.29227,0.251,0,0
7,-22,-221,-244,-3,0,1.47223,0.251,0,0
-5,-40,-281,-299,3,0,5.41127,0.396,0,0
-23,-56,-270,-288,3,0,6.11055,0.396,0,0
-42,-75,-248,-270,2,0,6.14869,0.516,0,0
-60,-96,-234,-275,0,0,6.19192,0.516,0,0
-77,-118,-240,-273,-4,0,1.66444,0.624,0,0
-98,116,-242,-276,-4,0,10.8469,0.624,0,0
-115,98,-244,-272,-1,0,13.4823,0.638,0,0
-128,84,-222,-235,-1,0,16.5235,0.638,0,0
108,64,-225,-254,1,0,4.95481,0.644,0,0
95,48,-247,-288,0,0,5.70584,0.644,0,0
83,34,-247,-287,0,0,5.91826,0.623,0,0
69,18,-235,-292,0,0,7.45369,0.623,0,0
61,5,-243,-278,-1,0,4.69794,0.623,0,0
46,-9,-239,-276,-1,0,4.71425,0.606,0,0
37,-20,-242,-273,-2,0,3.19106,0.606,0,0
21,-39,-237,-268,-3,0,2.54945,0.606,0,0
11,-49,-246,-269,-3,0,1.78785,0.606,0,0
0,-62,-251,-271,-3,0,1.93922,0.606,0,0
-12,-74,-254,-261,-4,0,-0.0276659,0.606,0,0
-24,-86,-250,-261,-4,0,0.710036,0.606,0,0
-35,-98,-256,-254,-4,0,-1.16986,0.606,0,0
-49,-111,-257,-250,-4,0,-1.84543,0.568,0,0
-60,-122,-260,-256,-4,0,-1.88964,0.568,0,0
-79,116,-262,-247,-4,0,1.07554,0.529,0,0
-89,106,-263,-252,-4,0,2.18223,0.529,0,0
-103,92,-261,-250,-3,0,4.06587,0.529,0,0
-116,79,-249,-265,-3,0,10.8066,0.508,0,0
-128,66,-231,-275,-4,0,17.0482,0.508,0,0
118,53,-229,-292,-10,0,1.09543,0.48,0,0
103,35,-244,-287,-10,0,-0.0170973,0.48,0,0
93,20,-256,-262,-16,0,-8.20592,0.449,0,0
73,4,-255,-249,-16,0,-9.93459,0.449,0,0
63,-5,-275,-221,-14,0,-14.3901,0.449,0,0
41,-22,-284,-217,-14,0,-16.0178,0.423,0,0
29,-32,-297,-225,-12,0,-15.2427,0.423,0,0
9,-47,-299,-222,-10,0,-14.9914,0.423,0,0
-4,-56,-297,-215,-10,0,-16.1447,0.423,0,0
-21,-71,-292,-219,-7,0,-13.5258,0.401,0,0
-43,-85,-299,-220,-7,0,-15.2193,0.401,0,0
-55,-95,-293,-214,-5,0,-14.2476,0.377,0,0
-78,-111,-294,-218,-5,0,-11.2318,0.377,0,0
-90,-120,-295,-223,-4,0,-7.81351,0.377,0,0
-107,124,-292,-228,-2,0,-1.80834,0.365,0,0
-122,111,-283,-234,-1,0,4.71638,0.365,0,0
115,93,-268,-248,0,0,-1.192,0.34,0,0
99,80,-254,-250,0,0,0.891348,0.34,0,0
87,67,-255,-258,1,0,2.35482,0.323,0,0
67,48,-257,-259,1,0,2.19672,0.323,0,0
53,34,-253,-259,1,0,2.42701,0.323,0,0
40,20,-256,-267,1,0,2.80146,0.305,0,0
27,6,-251,-258,1,0,2.11247,0.305,0,0
16,-5,-251,-261,1,0,2.27792,0.305,0,0
-1,-23,-251,-266,0,0,2.58745,0.293,0,0
-12,-34,-248,-263,0,0,2.91891,0.293,0,0
-32,-54,-251,-264,0,0,2.84448,0.274,0,0
-41,-65,-252,-265,0,0,2.98767,0.274,0,0
-59,-83,-254,-263,0,0,2.51629,0.258,0,0
-71,-96,-253,-261,0,0,1.68697,0.258,0,0
-84,-111,-251,-261,0,0,2.44542,0.243,0,0
-100,-125,-250,-261,0,0,5.27184,0.243,0,0
-110,119,-250,-267,0,0,11.5031,0.215,0,0
123,96,-248,-268,0,0,2.33711,0.215,0,0
104,70,-238,-270,0,0,4.23095,0.195,0,0
91,60,-239,-271,-1,0,3.61046,0.195,0,0
76,44,-248,-270,-1,0,3.19051,0.195,0,0
63,28,-247,-262,-2,0,1.71314,0.176,0,0
53,20,-254,-258,-2,0,0.244164,0.176,0,0
37,0,-282,-258,3,0,0.094288,0.154,0,0
22,-10,-271,-282,9,0,8.00224,0.154,0,0
3,-30,-247,-251,11,0,8.86236,0.154,0,0
-15,-49,-230,-270,9,0,13.2561,0.158,0,0
-29,-66,-216,-271,8,0,14.3838,0.117,0,0
-42,-83,-215,-299,8,0,18.1928,0.117,0,0
-53,-99,-215,-293,7,0,16.421,0.117,0,0
-66,-115,-223,-296,6,0,14.6222,0.091,0,0
-76,124,-214,-298,4,0,23.2667,0.091,0,0
-91,105,-215,-304,4,0,24.4638,0.078,0,0
-98,95,-208,-310,2,0,24.8854,0.078,0,0
-110,76,-197,-313,1,0,25.9133,0.059,0,0
-118,61,-184,-314,0,0,25.7408,0.059,0,0
125,41,-183,-317,0,0,16.4123,0.04,0,0
113,19,-178,-313,-4,0,13.6951,0.04,0,0
103,-2,-196,-303,-6,0,9.35766,0.033,0,0
90,-18,-204,-302,-9,0,6.85875,0.033,0,0
81,-31,-216,-291,-9,0,4.41963,0.033,0,0
65,-50,-229,-287,-11,0,0.927,0.016,0,0
50,-69,-241,-276,-12,0,-2.22474,0.016,0,0
33,-88,-247,-269,-13,0,-4.13944,0.006,0,0
22,-99,-257,-263,-13,0,-5.85349,0.006,0,0
-4,-127,-266,-247,-14,0,0,-0.015,0,1
-46,93,3,0,-15,0,-6.92606,0.085,0,0
-46,93,-2,0,-15,0,-7.39896,0.085,0,0
-49,90,-58,-183,-17,0,13.4605,0.085,0,0
-65,75,-291,-268,-17,0,-9.46219,0.195,0,0
-75,64,-310,-272,-15,0,-10.1045,0.195,0,0
-98,42,-264,-289,-14,0,0.0945007,0.394,0,0
-111,30,-243,-269,-14,0,1.6203,0.394,0,0
-120,20,-248,-258,-14,0,2.81316,0.394,0,0
121,4,-244,-258,-15,0,-6.10116,0.516,0,0
112,-5,-248,-262,-15,0,-6.2185,0.516,0,0
99,-19,-266,-251,-16,0,-10.3839,0.547,0,0
80,-36,-272,-242,-16,0,-12.3565,0.547,0,0
