timestamp,offset,yaw,error
1765363174.7517104,-4,-4,0.0
1765363174.85177,-4,-4,0.0
1765363174.9517348,-4,-3,5.31
1765363175.0518909,-4,-1,15.93
1765363175.1518567,-4,-1,15.93
1765363175.251787,-4,-1,15.93
1765363175.3519154,-4,-2,10.62
1765363175.4518054,-4,-3,5.31
1765363175.551979,-4,-3,5.31
1765363175.6519592,-4,-3,5.31
1765363175.7518635,-4,-5,-5.31
1765363175.8517175,-4,-5,-5.31
1765363175.9520042,-4,-5,-5.31
1765363176.0519652,-4,5,47.79
1765363176.1518776,-4,17,111.50999999999999
1765363176.2518594,-4,17,111.50999999999999
1765363176.351931,-4,16,106.19999999999999
1765363176.4518237,-4,14,95.58
1765363176.551916,-4,11,79.64999999999999
1765363176.6519873,-4,5,47.79
1765363176.7519512,-4,-3,5.31
1765363176.851903,-4,-4,0.0
1765363176.9519467,-4,-9,-26.549999999999997
1765363177.0520132,-4,-12,-42.48
1765363177.1521425,-4,-11,-37.169999999999995
1765363177.2520351,-4,-11,-37.169999999999995
1765363177.3518436,-4,-9,-26.549999999999997
1765363177.4520109,-4,-7,-15.93
1765363177.5519178,-4,-6,-10.62
1765363177.6519008,-4,-3,5.31
1765363177.7519119,-4,-3,5.31
1765363177.851925,-4,-2,10.62
1765363177.951859,-4,-2,10.62
1765363178.0518818,-4,-2,10.62
1765363178.1518288,-4,-3,5.31
1765363178.251852,-4,-3,5.31
1765363178.3518848,-4,-4,0.0
1765363178.4518623,-4,-4,0.0
1765363178.551855,-4,-14,-53.099999999999994
1765363178.6519284,-4,-14,-53.099999999999994
1765363178.751949,-4,-21,-90.27
1765363178.851945,-4,-18,-74.33999999999999
1765363178.951893,-4,-12,-42.48
1765363179.0518074,-4,-10,-31.86
1765363179.1520412,-4,-7,-15.93
1765363179.2518933,-4,-4,0.0
1765363179.351841,-4,-3,5.31
1765363179.4518716,-4,-2,10.62
1765363179.5519214,-4,-2,10.62
1765363179.6517208,-4,-2,10.62
1765363179.7518373,-4,-2,10.62
1765363179.8517942,-4,-3,5.31
1765363179.9518437,-4,-3,5.31
1765363180.0517395,-4,-6,-10.62
1765363180.151765,-4,-21,-90.27
1765363180.2518568,-4,-22,-95.58
1765363180.3517585,-4,-19,-79.64999999999999
1765363180.4517963,-4,-17,-69.03
1765363180.551839,-4,-14,-53.099999999999994
1765363180.6519337,-4,-10,-31.86
1765363180.7518768,-4,-5,-5.31
1765363180.8519685,-4,-4,0.0
1765363180.9520814,-4,-3,5.31
1765363181.0519667,-4,-2,10.62
1765363181.1519592,-4,-2,10.62
1765363181.2517586,-4,-1,15.93
1765363181.3517947,-4,6,53.099999999999994
1765363181.4518042,-4,22,138.06
1765363181.5518703,-4,28,169.92
1765363181.6517856,-4,28,169.92
1765363181.7519255,-4,21,132.75
1765363181.851864,-4,16,106.19999999999999
1765363181.9517806,-4,7,58.41
1765363182.051944,-4,-5,-5.31
1765363182.152064,-4,-11,-37.169999999999995
1765363182.2517996,-4,-14,-53.099999999999994
1765363182.3518693,-4,-14,-53.099999999999994
1765363182.451939,-4,-13,-47.79
1765363182.5518956,-4,-13,-47.79
1765363182.6518333,-4,-9,-26.549999999999997
1765363182.752008,-4,-9,-26.549999999999997
1765363182.8519247,-4,-6,-10.62
1765363182.9518807,-4,-3,5.31
1765363183.051834,-4,-3,5.31
1765363183.1517599,-4,-2,10.62
1765363183.251936,-4,-1,15.93
1765363183.351895,-4,-2,10.62
