timestamp,offset,yaw,error
1765362701.9202192,9,9,0
1765362702.0202065,9,9,0
1765362702.120287,9,9,0
1765362702.2202063,9,9,0
1765362702.3202174,9,9,0
1765362702.4202864,9,9,0
1765362702.5203722,9,10,7
1765362702.6204169,9,10,7
1765362702.7204387,9,10,7
1765362702.8203561,9,9,0
1765362702.9204836,9,9,0
1765362703.0204065,9,9,0
1765362703.120419,9,17,56
1765362703.220362,9,33,168
1765362703.320336,9,33,168
1765362703.4203732,9,25,112
1765362703.5202608,9,20,77
1765362703.6203327,9,15,42
1765362703.720429,9,5,-28
1765362703.8205125,9,4,-35
1765362703.9204388,9,0,-63
1765362704.0203402,9,1,-56
1765362704.1203504,9,2,-49
1765362704.2204852,9,6,-21
1765362704.3203928,9,8,-7
1765362704.4203074,9,10,7
1765362704.520357,9,11,14
1765362704.6204708,9,11,14
1765362704.72044,9,11,14
1765362704.8203192,9,6,-21
1765362704.9204557,9,-4,-91
1765362705.0203247,9,-24,-231
1765362705.120313,9,-22,-217
1765362705.2205536,9,-19,-196
1765362705.320324,9,-12,-147
1765362705.4203544,9,-8,-119
1765362705.5203288,9,-6,-105
1765362705.6204102,9,-2,-77
1765362705.7204075,9,3,-42
1765362705.8204129,9,8,-7
1765362705.9203122,9,10,7
1765362706.0204659,9,12,21
1765362706.1205032,9,13,28
1765362706.220458,9,13,28
1765362706.3204403,9,12,21
1765362706.420469,9,11,14
1765362706.5205698,9,10,7
1765362706.6204247,9,9,0
1765362706.7202919,9,10,7
1765362706.8202841,9,15,42
1765362706.9204423,9,25,112
1765362707.020356,9,36,189
1765362707.120411,9,33,168
1765362707.220321,9,30,147
1765362707.3204052,9,23,98
1765362707.4203477,9,8,-7
1765362707.5204048,9,5,-28
1765362707.6204689,9,-2,-77
1765362707.7203717,9,-2,-77
1765362707.8204598,9,-1,-70
1765362707.9203203,9,2,-49
1765362708.0203393,9,2,-49
1765362708.1203616,9,-8,-119
1765362708.2203999,9,-14,-161
1765362708.3203568,9,-11,-140
1765362708.4204004,9,-8,-119
1765362708.5203855,9,-2,-77
1765362708.6203449,9,2,-49
1765362708.7203524,9,5,-28
1765362708.8204038,9,7,-14
1765362708.920359,9,20,77
1765362709.0202887,9,26,119
1765362709.120325,9,25,112
1765362709.2203906,9,21,84
1765362709.3204098,9,16,49
1765362709.4203453,9,9,0
1765362709.5203595,9,-18,-189
1765362709.6204422,9,-30,-273
1765362709.7203999,9,-28,-259
1765362709.8202868,9,-22,-217
1765362709.9203403,9,-17,-182
1765362710.020383,9,-14,-161
1765362710.1206174,9,-6,-105
1765362710.2203283,9,-3,-84
1765362710.3204038,9,-3,-84
1765362710.4205773,9,6,-21
1765362710.5203493,9,8,-7
1765362710.6204643,9,10,7
1765362710.720285,9,12,21
1765362710.820371,9,13,28
1765362710.9203193,9,12,21
1765362711.0203297,9,11,14
1765362711.1203885,9,10,7
1765362711.2204804,9,9,0
