timestamp,offset,yaw,error
1768905260.4277055,0,0,0.0
1768905260.5276814,0,0,0.0
1768905260.6276298,0,0,0.0
1768905260.727655,1,1,0.0
1768905260.8275836,1,2,9.0
1768905260.9276247,1,2,9.0
1768905261.0277607,1,2,9.0
1768905261.127664,1,1,0.0
1768905261.2275753,1,0,-9.0
1768905261.3275676,1,0,-9.0
1768905261.427622,1,1,0.0
1768905261.5276642,1,1,0.0
1768905261.6276367,1,2,9.0
1768905261.7276797,1,2,9.0
1768905261.8279288,1,2,9.0
1768905261.9276288,1,2,9.0
1768905262.0276172,1,2,9.0
1768905262.127528,1,1,0.0
1768905262.2275615,1,1,0.0
1768905262.327717,1,0,-9.0
1768905262.4277456,1,0,-9.0
1768905262.5277944,1,0,-9.0
1768905262.6276634,1,5,36.0
1768905262.727688,1,7,54.0
1768905262.8276262,1,5,36.0
1768905262.9275742,1,3,18.0
1768905263.0276594,1,1,0.0
1768905263.127616,1,-1,-18.0
1768905263.2276456,1,-1,-18.0
1768905263.3276353,1,-1,-18.0
1768905263.4276521,1,0,-9.0
1768905263.527569,1,2,9.0
1768905263.6276157,1,2,9.0
1768905263.7276006,1,2,9.0
1768905263.8276198,1,2,9.0
1768905263.9277244,1,1,0.0
1768905264.0276325,1,1,0.0
1768905264.1276128,1,2,9.0
1768905264.2276156,1,13,108.0
1768905264.3276684,1,16,135.0
1768905264.4276164,1,13,108.0
1768905264.5276465,1,10,81.0
1768905264.6276069,1,7,54.0
1768905264.7276413,1,0,-9.0
1768905264.827595,1,-8,-81.0
1768905264.9276874,1,-9,-90.0
1768905265.0276344,1,-7,-72.0
1768905265.1275532,1,-4,-45.0
1768905265.2276304,1,-2,-27.0
1768905265.3277633,1,0,-9.0
1768905265.427601,1,3,18.0
1768905265.527663,1,4,27.0
1768905265.6276786,1,4,27.0
1768905265.7277484,1,3,18.0
1768905265.827591,1,3,18.0
1768905265.9275863,1,0,-9.0
1768905266.0275927,1,0,-9.0
1768905266.1275878,1,0,-9.0
1768905266.2276728,1,0,-9.0
1768905266.327594,1,1,0.0
1768905266.4275856,1,2,9.0
1768905266.5275948,1,2,9.0
1768905266.6276188,1,2,9.0
1768905266.7276173,1,2,9.0
1768905266.827638,1,2,9.0
1768905266.927642,1,1,0.0
1768905267.027667,1,1,0.0
1768905267.1276345,1,1,0.0
1768905267.2276065,1,1,0.0
1768905267.3276658,1,1,0.0
1768905267.4275687,1,1,0.0
1768905267.5276074,1,1,0.0
1768905267.627595,1,1,0.0
1768905267.7275965,1,1,0.0
1768905267.827622,1,1,0.0
1768905267.927677,1,1,0.0
1768905268.0276325,1,1,0.0
1768905268.1275675,1,2,9.0
1768905268.2276103,1,2,9.0
1768905268.3277922,1,2,9.0
1768905268.4277148,1,1,0.0
1768905268.5276134,1,0,-9.0
1768905268.627617,1,0,-9.0
1768905268.727672,1,1,0.0
1768905268.827674,1,2,9.0
1768905268.927626,1,2,9.0
1768905269.0276034,1,2,9.0
1768905269.127796,1,2,9.0
1768905269.227669,1,1,0.0
1768905269.3276567,1,0,-9.0
1768905269.4276178,1,0,-9.0
1768905269.5276093,1,0,-9.0
1768905269.6276484,1,1,0.0
1768905269.7276053,1,1,0.0
1768905269.8277862,1,2,9.0
1768905269.9276059,1,2,9.0
1768905270.0275838,1,2,9.0
1768905270.1275985,1,2,9.0
1768905270.2275913,1,1,0.0
1768905270.3275902,1,1,0.0
