timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.76891e+09,nag,1,0,0,0,1.722
1.76891e+09,nag,1,0,0,0,1.722
1.76891e+09,nag,1,0,0,0,1.722
1.76891e+09,nag,1,0,0,0,1.722
1.76891e+09,nag,1,0,0,0,1.722
1.76891e+09,nag,1,0,0,0,1.726
1.76891e+09,nag,1,0,0,0,1.726
1.76891e+09,nag,1,0,0,0,1.726
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,2.55
1.76891e+09,nag,1,0,0,0,1.779
1.76891e+09,nag,1,0,0,0,1.779
1.76891e+09,nag,1,0,0,0,1.779
1.76891e+09,nag,1,0,0,0,1.779
1.76891e+09,nag,1,0,0,0,1.138
1.76891e+09,nag,1,0,0,0,1.138
1.76891e+09,nag,1,0,0,0,1.138
1.76891e+09,nag,1,0,0,0,1.577
1.76891e+09,nag,1,0,0,0,1.577
1.76891e+09,nag,1,0,0,0,1.577
1.76891e+09,nag,1,0,0,0,1.577
1.76891e+09,nag,1,0,0,0,1.557
1.76891e+09,nag,1,0,0,0,1.557
1.76891e+09,nag,1,0,0,0,1.557
1.76891e+09,nag,1,0,0,0,1.557
1.76891e+09,nag,1,0,0,0,1.139
1.76891e+09,nag,1,0,0,0,1.139
1.76891e+09,nag,1,0,0,0,1.139
1.76891e+09,nag,1,0,0,0,1.123
1.76891e+09,nag,1,0,0,0,1.123
1.76891e+09,nag,1,0,0,0,1.123
1.76891e+09,nag,1,0,0,0,1.123
1.76891e+09,nag,1,0,0,0,1.076
1.76891e+09,nag,1,0,0,0,1.076
1.76891e+09,nag,1,0,0,0,1.076
1.76891e+09,nag,1,0,0,0,1.466
1.76891e+09,nag,1,0,0,0,1.466
1.76891e+09,nag,1,0,0,0,1.466
1.76891e+09,nag,1,0,0,0,1.443
1.76891e+09,nag,1,0,0,0,1.443
1.76891e+09,nag,1,0,0,0,1.443
1.76891e+09,nag,1,0,0,0,1.443
1.76891e+09,nag,1,0,0,0,0.939
1.76891e+09,nag,1,0,0,0,0.939
1.76891e+09,nag,1,0,0,0,0.939
1.76891e+09,nag,1,0,0,0,0.943
1.76891e+09,nag,1,0,0,0,0.943
1.76891e+09,nag,1,0,0,0,0.943
1.76891e+09,nag,1,0,0,0,0.908
1.76891e+09,nag,1,0,0,0,0.908
1.76891e+09,nag,1,0,0,0,0.908
1.76891e+09,nag,1,0,0,0,0.902
1.76891e+09,nag,1,0,0,0,0.902
1.76891e+09,nag,1,0,0,0,0.902
1.76891e+09,nag,1,0,0,0,0.902
1.76891e+09,nag,1,0,0,0,1.317
1.76891e+09,nag,1,0,0,0,1.317
1.76891e+09,nag,1,0,0,0,1.297
1.76891e+09,nag,1,0,0,0,1.297
1.76891e+09,nag,1,0,0,0,1.297
1.76891e+09,nag,1,0,0,0,0.864
1.76891e+09,nag,1,0,0,0,0.864
1.76891e+09,nag,1,0,0,0,0.864
1.76891e+09,nag,1,0,0,0,1.25
1.76891e+09,nag,1,0,0,0,1.25
1.76891e+09,nag,1,0,0,0,0.796
1.76891e+09,nag,1,0,0,0,0.796
1.76891e+09,nag,1,0,0,0,0.796
1.76891e+09,nag,1,0,0,0,1.202
1.76891e+09,nag,1,0,0,0,1.202
1.76891e+09,nag,1,0,0,0,1.202
1.76891e+09,nag,1,0,0,0,0.77
1.76891e+09,nag,1,0,0,0,0.77
