timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.7689e+09,nbs,2.5,0,0,0,2.322
1.7689e+09,nbs,2.5,0,0,0,2.322
1.7689e+09,nbs,2.5,0,0,0,2.322
1.7689e+09,nbs,2.5,0,0,0,2.321
1.7689e+09,nbs,2.5,0,0,0,2.321
1.7689e+09,nbs,2.5,0,0,0,2.321
1.7689e+09,nbs,2.5,0,0,0,2.306
1.7689e+09,nbs,2.5,0,0,0,2.306
1.7689e+09,nbs,2.5,0,0,0,2.306
1.7689e+09,nbs,2.5,0,0,0,2.297
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.297
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.297
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.294
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.294
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.276
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.276
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.276
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.276
1.7689e+09,nbs,2.5,0,0,0,2.253
1.7689e+09,nbs,2.5,0,0,0,2.253
1.7689e+09,nbs,2.5,0,0,0,2.253
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.235
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.235
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.235
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.241
1.7689e+09,nbs,2.5,0,0,0,2.241
1.7689e+09,nbs,2.5,0,0,0,2.241
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.55
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.55
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.55
1.7689e+09,nbs,2.5,-0.277778,-1.81818,-1,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0.277778,1.81818,1,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
1.7689e+09,nbs,2.5,0,0,0,2.55
