timestamp,pos_izq,pos_der,vel_izq,vel_der,yaw,distancia,delta_v,delta_v_aplicado
1765626019286,-102,-108,0,0,2,0.757,26.0387,26.0387
1765626019290,-102,-108,0,0,2,0.757,26.0387,26.0387
1765626019295,-102,-108,0,0,2,0.757,26.0387,26.0387
1765626019363,-102,-108,-2,-2,2,0.757,25.9652,25.9652
1765626019422,-108,-116,-136,-242,3,0.757,16.9346,16.9346
1765626019484,-116,124,-208,-312,3,0.757,28.3467,28.3467
1765626019531,124,102,-230,-353,2,0.75,13.7734,13.7734
1765626019579,115,89,-222,-330,1,0.75,11.6293,11.6293
1765626019636,106,75,-196,-319,-2,0.734,11.2486,11.2486
1765626019682,94,54,-187,-297,-2,0.734,10.0498,10.0498
1765626019735,86,41,-215,-284,-4,0.734,4.95297,4.95297
1765626019808,69,19,-220,-284,-6,0.718,3.76042,3.76042
1765626019867,57,6,-237,-280,-6,0.705,2.17809,2.17809
1765626019915,42,-10,-247,-272,-7,0.705,-0.823871,-0.823871
1765626019950,32,-22,-254,-262,-8,0.705,-3.6567,-3.6567
1765626020043,18,-35,-258,-253,-8,0.687,-5.26592,-5.26592
1765626020148,-7,-62,-261,-251,-8,0.687,-5.86981,-5.86981
1765626020196,-28,-80,-259,-248,-8,0.662,-5.96295,-5.96295
1765626020272,-45,-98,-268,-245,-7,0.662,-6.88766,-6.88766
1765626020315,-64,-114,-275,-242,-7,0.641,-8.36009,-8.36009
1765626020403,-79,-126,-275,-242,-6,0.641,-6.43923,-6.43923
1765626020473,-103,107,-279,-238,-5,0.624,-1.7256,-1.7256
1765626020547,-122,93,-278,-233,-5,0.624,2.54827,2.54827
1765626020617,111,73,-274,-241,-4,0.603,-4.94006,-4.94006
1765626020675,99,62,-278,-225,-1,0.603,-5.18163,-5.18163
1765626020721,82,49,-292,-204,-1,0.586,-9.4569,-9.4569
1765626020796,67,35,-285,-255,9,0.586,3.90008,3.90008
1765626020833,51,23,-270,-290,18,0.563,15.5702,15.5702
1765626020880,34,5,-275,-277,22,0.563,15.8769,15.8769
1765626020958,18,-12,-243,-250,22,0.535,16.7632,16.7632
1765626021028,5,-25,-213,-273,22,0.535,24.8825,24.8825
1765626021092,-10,-46,-205,-303,21,0.525,28.4176,28.4176
1765626021139,-22,-65,-211,-314,21,0.525,29.2897,29.2897
1765626021184,-32,-80,-188,-315,19,0.525,30.1189,30.1189
1765626021230,-39,-92,-170,-312,19,0.509,31.2887,31.2887
1765626021266,-48,-107,-166,-313,17,0.509,29.8673,29.8673
1765626021341,-56,-126,-160,-319,13,0.498,27.7308,27.7308
1765626021377,-65,114,-155,-316,13,0.498,36.768,36.768
1765626021445,-70,101,-162,-315,11,0.498,33.9223,33.9223
1765626021495,-83,79,-158,-313,8,0.49,31.2292,31.2292
1765626021548,-90,63,-152,-313,6,0.49,29.5384,29.5384
1765626021625,-98,40,-150,-312,3,0.471,26.1432,26.1432
1765626021662,-109,25,-153,-314,3,0.471,24.6779,24.6779
1765626021733,-117,6,-171,-321,0,0.439,20.4571,20.4571
1765626021780,-128,-10,-181,-316,0,0.439,20.2148,20.2148
1765626021846,116,-32,-200,-315,-4,0.42,13.1085,13.1085
1765626021938,106,-45,-208,-319,-6,0.42,11.0238,11.0238
1765626021948,96,-61,-207,-303,-7,0.42,8.50323,8.50323
1765626022008,86,-76,-216,-298,-10,0.404,4.76543,4.76543
1765626022051,70,-96,-220,-293,-10,0.404,3.94185,3.94185
1765626022123,60,-112,-236,-279,-13,0.384,-1.05399,-1.05399
1765626022163,45,-126,-235,-272,-15,0.384,-2.89098,-2.89098
1765626022240,33,115,-252,-260,-15,0.37,-8.90605,-8.90605
1765626022274,16,100,-262,-249,-15,0.37,-10.4076,-10.4076
1765626022346,5,88,-274,-238,-15,0.37,-12.2261,-12.2261
1765626022400,-16,71,-279,-231,-15,0.353,-13.6275,-13.6275
1765626022450,-29,60,-287,-228,-14,0.353,-14.5635,-14.5635
1765626022510,-43,47,-289,-221,-14,0.338,-16.2311,-16.2311
1765626022544,-60,37,-297,-223,-12,0.338,-16.559,-16.559
1765626022626,-72,28,-299,-214,-10,0.321,-17.689,-17.689
1765626022670,-98,10,-300,-208,-10,0.321,-15.1656,-15.1656
1765626022745,-109,1,-303,-209,-8,0.321,-11.5725,-11.5725
1765626022791,125,-13,-305,-211,-6,0.326,-12.9693,-12.9693
1765626022866,106,-26,-295,-227,-4,0.326,-8.2157,-8.2157
1765626022925,86,-42,-289,-221,-3,0.282,-7.76009,-7.76009
1765626022964,72,-54,-289,-227,-3,0.282,-7.05299,-7.05299
1765626023058,57,-66,-274,-242,-2,0.251,-3.02554,-3.02554
1765626023123,34,-86,-275,-238,0,0.251,-2.18392,-2.18392
1765626023164,16,-101,-267,-245,0,0.251,-0.466691,-0.466691
1765626023241,0,-116,-269,-248,1,0.235,0.378721,0.378721
1765626023359,-19,122,-263,-247,1,0.211,0.883333,0.883333
1765626023385,-34,108,-254,-254,1,0.211,4.0159,4.0159
1765626023437,-46,92,-256,-266,1,0.211,6.02188,6.02188
1765626023472,-65,74,-257,-262,1,0.19,6.08778,6.08778
1765626023531,-75,65,-248,-264,1,0.19,8.46636,8.46636
1765626023610,-90,48,-239,-267,1,0.181,10.6695,10.6695
1765626023682,-110,26,-232,-257,0,0.181,13.8778,13.8778
1765626023738,-122,10,-228,-276,0,0.156,17.5976,17.5976
1765626023796,120,-6,-237,-302,-1,0.156,9.27962,9.27962
1765626024495,84,-54,0,-3,-4,0.154,17.4034,17.4034
1765626024546,84,-54,0,0,-4,0.154,17.2195,17.2195
