timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.76891e+09,npg,0.4,0,0,0,2.55
1.76891e+09,npg,0.4,0,0,0,2.55
1.76891e+09,npg,0.4,0,0,0,2.55
1.76891e+09,npg,0.4,0,0,0,2.55
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,2.55
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.992
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.992
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,1.992
1.76891e+09,npg,0.4,5.30092e-15,0,0,1.992
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.982
1.76891e+09,npg,0.4,3.15152,2.7139,0,1.982
1.76891e+09,npg,0.4,3.15152,2.7139,0,1.982
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.946
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.946
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.946
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,2.051
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,2.051
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,2.051
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,2.55
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,2.55
1.76891e+09,npg,0.4,1.57576,1.49799,0,2.55
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.389
1.76891e+09,npg,0.4,-14.1818,-8.75352,0,1.387
1.76891e+09,npg,0.4,7.87879,5.52075,0,1.387
1.76891e+09,npg,0.4,3.15152,2.7139,0,1.387
1.76891e+09,npg,0.4,4.72727,3.75213,0,2.55
1.76891e+09,npg,0.4,6.30303,4.67294,0,2.55
1.76891e+09,npg,0.4,6.30303,4.67294,0,2.55
1.76891e+09,npg,0.4,1.57576,1.49799,0,2.55
1.76891e+09,npg,0.4,3.15152,2.7139,0,2.55
1.76891e+09,npg,0.4,1.57576,1.49799,0,2.55
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,2.55
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,2.55
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,2.55
1.76891e+09,npg,0.4,-9.45455,-6.32833,0,2.55
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,2.06
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,2.06
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,2.06
1.76891e+09,npg,0.4,1.07344e-13,0,0,2.55
1.76891e+09,npg,0.4,4.72727,3.75213,0,2.55
1.76891e+09,npg,0.4,3.15152,2.7139,0,2.55
1.76891e+09,npg,0.4,6.30303,4.67294,0,1.99
1.76891e+09,npg,0.4,6.30303,4.67294,0,1.99
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.99
1.76891e+09,npg,0.4,3.15152,2.7139,0,1.99
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.278
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.278
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,2.55
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,2.55
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,2.55
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,2.55
1.76891e+09,npg,0.4,1.05135e-13,0,0,1.779
1.76891e+09,npg,0.4,3.15152,2.7139,0,1.779
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,1.779
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.74
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.74
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,1.74
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.139
1.76891e+09,npg,0.4,1.70071e-13,0,0,1.139
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.107
1.76891e+09,npg,0.4,1.64991e-13,0,0,1.107
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,1.107
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.572
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.572
1.76891e+09,npg,0.4,7.87879,5.52075,0,1.572
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.542
1.76891e+09,npg,0.4,7.87879,5.52075,0,1.542
1.76891e+09,npg,0.4,4.72727,3.75213,0,1.103
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.103
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.103
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.103
1.76891e+09,npg,0.4,-2.90909,-2.54006,0,1.088
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,1.088
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,1.074
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.074
1.76891e+09,npg,0.4,1.57576,1.49799,0,1.074
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,1.074
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.953
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.953
1.76891e+09,npg,0.4,2.20872e-13,0,0,0.953
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.939
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.939
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.939
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.913
1.76891e+09,npg,0.4,-11.0303,-7.12488,0,0.913
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.894
1.76891e+09,npg,0.4,2.23964e-13,0,0,0.894
1.76891e+09,npg,0.4,2.23964e-13,0,0,0.894
1.76891e+09,npg,0.4,2.23964e-13,0,0,0.894
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.873
1.76891e+09,npg,0.4,2.27056e-13,0,0,0.873
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.873
1.76891e+09,npg,0.4,2.74765e-13,0,0,0.863
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.863
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.834
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.834
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.834
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.834
1.76891e+09,npg,0.4,2.77415e-13,0,0,0.819
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.819
1.76891e+09,npg,0.4,2.77415e-13,0,0,0.819
1.76891e+09,npg,0.4,-11.0303,-7.12488,0,0.8
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.8
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.8
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.78
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.78
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.78
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.758
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.758
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.758
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.758
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.762
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.762
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.762
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.762
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.762
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.762
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.762
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.762
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.762
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.762
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.762
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.762
1.76891e+09,npg,0.4,2.63721e-13,0,0,0.762
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.762
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.762
1.76891e+09,npg,0.4,-9.45455,-6.32833,0,0.762
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.762
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.762
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.762
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.762
1.76891e+09,npg,0.4,1.33333,1.28815,0,0.762
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.762
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.762
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.762
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.762
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.762
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.762
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.762
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,1.001
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,1.001
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,1.001
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.99
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.99
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.963
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.963
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.963
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.937
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.937
1.76891e+09,npg,0.4,2.64163e-13,0,0,0.937
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.937
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.915
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.915
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,0.915
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.891
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.891
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.891
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.877
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.877
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.877
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.849
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.849
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.849
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.833
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.833
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.833
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.814
1.76891e+09,npg,0.4,3.06349e-13,0,0,0.814
1.76891e+09,npg,0.4,3.06349e-13,0,0,0.814
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.794
1.76891e+09,npg,0.4,-1.33333,-1.28815,0,0.794
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.794
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.77
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,0.77
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.75
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.75
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.728
1.76891e+09,npg,0.4,11.0303,7.12488,0,0.728
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.728
1.76891e+09,npg,0.4,12.6061,7.93054,0,0.705
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.705
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.689
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.689
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.689
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,0.668
1.76891e+09,npg,0.4,-11.0303,-7.12488,0,0.668
1.76891e+09,npg,0.4,0.242424,0.254473,0,0.668
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.668
1.76891e+09,npg,0.4,1.84649e-13,0,0,0.644
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.644
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.626
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.626
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.626
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.609
1.76891e+09,npg,0.4,6.30303,4.67294,0,0.609
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.609
1.76891e+09,npg,0.4,1.8244e-13,0,0,0.609
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.586
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.586
1.76891e+09,npg,0.4,-11.0303,-7.12488,0,0.586
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.567
1.76891e+09,npg,0.4,-7.87879,-5.52075,0,0.567
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.546
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.546
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.546
1.76891e+09,npg,0.4,4.48485,3.60227,0,0.525
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.525
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.525
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.499
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.499
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.499
1.76891e+09,npg,0.4,2.68801e-13,0,0,0.481
1.76891e+09,npg,0.4,-18.9091,-11.3568,0,0.481
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.481
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.454
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.454
1.76891e+09,npg,0.4,2.70347e-13,0,0,0.454
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.435
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.435
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.435
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.411
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.411
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.393
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.393
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.393
1.76891e+09,npg,0.4,3.58254e-13,0,0,0.393
1.76891e+09,npg,0.4,-3.15152,-2.7139,0,0.376
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.376
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.376
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.353
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.353
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.353
1.76891e+09,npg,0.4,3.56929e-13,0,0,0.334
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.334
1.76891e+09,npg,0.4,4.72727,3.75213,0,0.334
1.76891e+09,npg,0.4,3.15152,2.7139,0,0.322
1.76891e+09,npg,0.4,9.45455,6.32833,0,0.322
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.322
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.286
1.76891e+09,npg,0.4,7.87879,5.52075,0,0.286
1.76891e+09,npg,0.4,3.58696e-13,0,0,0.286
1.76891e+09,npg,0.4,1.57576,1.49799,0,0.263
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.263
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.263
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.243
1.76891e+09,npg,0.4,-6.30303,-4.67294,0,0.243
1.76891e+09,npg,0.4,-4.72727,-3.75213,0,0.243
1.76891e+09,npg,0.4,-1.57576,-1.49799,0,0.225
