timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.76552e+09,nag,1,0,0,0,1
1.76552e+09,nag,1,0,0,0,1
1.76552e+09,nag,1,0.0540316,0.143567,0,1
1.76552e+09,nag,1,-1.47288,-3.527,0,1
1.76552e+09,nag,1,-2.03982,-4.69291,0,0.998
1.76552e+09,nag,1,0.608776,1.5508,0,0.998
1.76552e+09,nag,1,2.14749,4.90672,0,0.99
1.76552e+09,nag,1,2.89998,6.33366,0,0.99
1.76552e+09,nag,1,2.32215,5.25024,0,0.976
1.76552e+09,nag,1,0.775674,1.94488,0,0.976
1.76552e+09,nag,1,-0.228258,-0.599565,0,0.985
1.76552e+09,nag,1,-1.12649,-2.75682,0,0.985
1.76552e+09,nag,1,-2.25223,-5.11262,0,0.985
1.76552e+09,nag,1,-2.22011,-5.04968,0,0.939
1.76552e+09,nag,1,-1.06923,-2.62656,0,0.939
1.76552e+09,nag,1,0.545715,1.40019,0,0.939
1.76552e+09,nag,1,1.64141,3.88174,0,0.939
1.76552e+09,nag,1,2.00613,4.62553,0,0.917
1.76552e+09,nag,1,1.90264,4.4172,0,0.917
1.76552e+09,nag,1,0.527188,1.35574,0,0.873
1.76552e+09,nag,1,-0.321824,-0.840171,0,0.873
1.76552e+09,nag,1,-0.823548,-2.05765,0,0.839
1.76552e+09,nag,1,-0.874623,-2.17726,0,0.839
1.76552e+09,nag,1,0.103768,0.274815,0,0.842
1.76552e+09,nag,1,1.88056,4.37247,0,0.835
1.76552e+09,nag,1,2.33417,5.2738,0,0.835
1.76552e+09,nag,1,1.50287,3.59208,0,0.835
1.76552e+09,nag,1,0.382314,0.994165,0,0.814
1.76552e+09,nag,1,-1.51869,-3.62535,0,0.814
1.76552e+09,nag,1,-3.12252,-6.73324,0,0.788
1.76552e+09,nag,1,-4.26567,-8.65628,0,0.788
1.76552e+09,nag,1,-3.82336,-7.93389,0,0.792
1.76552e+09,nag,1,-2.65166,-5.87871,0,0.792
1.76552e+09,nag,1,0.410846,1.06638,0,0.792
1.76552e+09,nag,1,1.76264,4.13197,0,0.772
1.76552e+09,nag,1,3.73468,7.78639,0,0.772
1.76552e+09,nag,1,4.28841,8.69279,0,0.757
1.76552e+09,nag,1,4.03002,8.27432,0,0.757
1.76552e+09,nag,1,2.7441,6.0492,0,0.728
1.76552e+09,nag,1,0.905442,2.24909,0,0.728
1.76552e+09,nag,1,-1.13333,-2.77232,0,0.693
1.76552e+09,nag,1,-3.22871,-6.92127,0,0.693
1.76552e+09,nag,1,-4.00325,-8.23052,0,0.693
1.76552e+09,nag,1,-3.50564,-7.4036,0,0.672
1.76552e+09,nag,1,-0.221609,-0.582354,0,0.645
1.76552e+09,nag,1,2.02286,4.65901,0,0.645
1.76552e+09,nag,1,3.29816,7.04335,0,0.618
1.76552e+09,nag,1,4.09299,8.37704,0,0.618
1.76552e+09,nag,1,3.29536,7.03845,0,0.603
1.76552e+09,nag,1,1.54896,3.68889,0,0.603
1.76552e+09,nag,1,-0.438531,-1.1362,0,0.603
1.76552e+09,nag,1,-2.00486,-4.62299,0,0.578
1.76552e+09,nag,1,-2.85402,-6.25017,0,0.578
1.76552e+09,nag,1,-2.63107,-5.84053,0,0.561
1.76552e+09,nag,1,-1.80105,-4.21061,0,0.561
1.76552e+09,nag,1,0.349699,0.911284,0,0.561
1.76552e+09,nag,1,2.06737,4.74782,0,0.538
1.76552e+09,nag,1,3.27395,7.00087,0,0.538
1.76552e+09,nag,1,3.17362,6.82394,0,0.517
1.76552e+09,nag,1,2.46612,5.53062,0,0.517
1.76552e+09,nag,1,0.723805,1.82272,0,0.517
1.76552e+09,nag,1,-0.96635,-2.3903,0,0.496
1.76552e+09,nag,1,-2.49661,-5.58948,0,0.496
1.76552e+09,nag,1,-3.29107,-7.03091,0,0.474
1.76552e+09,nag,1,-3.00547,-6.52401,0,0.474
1.76552e+09,nag,1,-0.992531,-2.45069,0,0.455
1.76552e+09,nag,1,1.32822,3.20905,0,0.455
1.76552e+09,nag,1,2.45534,5.50976,0,0.437
1.76552e+09,nag,1,3.02307,6.55561,0,0.437
1.76552e+09,nag,1,2.35679,5.31807,0,0.437
1.76552e+09,nag,1,1.07272,2.63452,0,0.427
1.76552e+09,nag,1,-0.165922,-0.437619,0,0.427
1.76552e+09,nag,1,-2.10675,-4.82609,0,0.427
1.76552e+09,nag,1,-3.16098,-6.80155,0,0.392
1.76552e+09,nag,1,-2.71172,-5.98964,0,0.392
1.76552e+09,nag,1,-1.67356,-3.9484,0,0.365
1.76552e+09,nag,1,-0.136746,-0.361362,0,0.365
1.76552e+09,nag,1,1.22285,2.97414,0,0.34
1.76552e+09,nag,1,2.46524,5.52891,0,0.34
1.76552e+09,nag,1,2.46524,5.52891,0,0.328
1.76552e+09,nag,1,1.5698,3.73252,0,0.328
1.76552e+09,nag,1,-0.482755,-1.24721,0,0.308
1.76552e+09,nag,1,-2.02452,-4.66234,0,0.308
1.76552e+09,nag,1,-2.49869,-5.59349,0,0.304
1.76552e+09,nag,1,-2.49869,-5.59349,0,0.304
1.76552e+09,nag,1,-0.580544,-1.48351,0,0.263
1.76552e+09,nag,1,1.48058,3.54377,0,0.263
1.76552e+09,nag,1,2.90439,6.34164,0,0.243
1.76552e+09,nag,1,3.06543,6.63145,0,0.243
1.76552e+09,nag,1,2.30205,5.21078,0,0.243
1.76552e+09,nag,1,0.0574859,0.152711,0,0.219
1.76552e+09,nag,1,-2.05581,-4.7248,0,0.219
1.76552e+09,nag,1,-3.25582,-6.96902,0,0.19
1.76552e+09,nag,1,-3.03201,-6.57164,0,0.19
1.76552e+09,nag,1,-2.491,-5.57866,0,0.179
1.76552e+09,nag,1,-1.38437,-3.33308,0,0.179
1.76552e+09,nag,1,1.25422,3.04437,0,0.158
1.76552e+09,nag,1,2.84238,6.22899,0,0.158
1.76552e+09,nag,1,4.34009,8.77554,0,0.158
