timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.76552e+09,nbs,2.5,0,0,-1,1.01
1.76552e+09,nbs,2.5,0,0,-1,1.007
1.76552e+09,nbs,2.5,0,0,-1,1.007
1.76552e+09,nbs,2.5,0,0,-1,1.006
1.76552e+09,nbs,2.5,0,0,-1,1.006
1.76552e+09,nbs,2.5,0,0,-1,0.978
1.76552e+09,nbs,2.5,0,0,-1,0.978
1.76552e+09,nbs,2.5,0,0,-1,0.978
1.76552e+09,nbs,2.5,0,0,-1,0.955
1.76552e+09,nbs,2.5,0,0,-1,0.955
1.76552e+09,nbs,2.5,0,0,-1,0.941
1.76552e+09,nbs,2.5,0,0,-1,0.941
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.945
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.945
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.915
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.915
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.915
1.76552e+09,nbs,2.5,0,0,-1,0.901
1.76552e+09,nbs,2.5,0,0,-1,0.901
1.76552e+09,nbs,2.5,0,0,-1,0.861
1.76552e+09,nbs,2.5,0,0,-1,0.861
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.853
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.853
1.76552e+09,nbs,2.5,0,0,-1,0.825
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.825
1.76552e+09,nbs,2.5,-2.22222,-12.6345,-9,0.825
1.76552e+09,nbs,2.5,-2.22222,-12.6345,-9,0.833
1.76552e+09,nbs,2.5,-5.55556,-26.549,-21,0.833
1.76552e+09,nbs,2.5,-6.11111,-28.5334,-23,0.464
1.76552e+09,nbs,2.5,-6.11111,-28.5334,-23,0.464
1.76552e+09,nbs,2.5,-5.27778,-25.5253,-20,0.464
1.76552e+09,nbs,2.5,-4.72222,-23.4314,-18,0.464
1.76552e+09,nbs,2.5,-3.61111,-18.9516,-14,0.464
1.76552e+09,nbs,2.5,-3.61111,-18.9516,-14,0.769
1.76552e+09,nbs,2.5,-2.77778,-15.2774,-11,0.769
1.76552e+09,nbs,2.5,-1.94444,-11.254,-8,0.769
1.76552e+09,nbs,2.5,-1.94444,-11.254,-8,0.748
1.76552e+09,nbs,2.5,-0.833333,-5.20155,-4,0.748
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.74
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.74
1.76552e+09,nbs,2.5,0,0,-1,0.722
1.76552e+09,nbs,2.5,0,0,-1,0.722
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.71
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.71
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.71
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.658
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.658
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.658
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.633
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.633
1.76552e+09,nbs,2.5,0,0,-1,0.605
1.76552e+09,nbs,2.5,0,0,-1,0.605
1.76552e+09,nbs,2.5,0,0,-1,0.605
1.76552e+09,nbs,2.5,0,0,-1,0.586
1.76552e+09,nbs,2.5,0,0,-1,0.586
1.76552e+09,nbs,2.5,0,0,-1,0.554
1.76552e+09,nbs,2.5,0,0,-1,0.554
1.76552e+09,nbs,2.5,0,0,-1,0.54
1.76552e+09,nbs,2.5,1.94444,11.254,6,0.54
1.76552e+09,nbs,2.5,7.5,33.2604,26,0.523
1.76552e+09,nbs,2.5,10.5556,43.0236,37,0.523
1.76552e+09,nbs,2.5,11.1111,44.7865,39,0.523
1.76552e+09,nbs,2.5,11.1111,44.7865,39,0.523
1.76552e+09,nbs,2.5,10.8333,43.9059,38,0.523
1.76552e+09,nbs,2.5,10,41.2785,35,0.5
1.76552e+09,nbs,2.5,8.88889,37.7596,31,0.5
1.76552e+09,nbs,2.5,8.88889,37.7596,31,0.498
1.76552e+09,nbs,2.5,8.05556,35.0802,28,0.498
1.76552e+09,nbs,2.5,7.22222,32.3375,25,0.498
1.76552e+09,nbs,2.5,5.83333,27.5483,20,0.649
1.76552e+09,nbs,2.5,5,24.4869,17,0.515
1.76552e+09,nbs,2.5,5,24.4869,17,0.515
1.76552e+09,nbs,2.5,4.16667,21.2415,14,0.515
1.76552e+09,nbs,2.5,3.05556,16.5345,10,0.418
1.76552e+09,nbs,2.5,3.05556,16.5345,10,0.418
1.76552e+09,nbs,2.5,2.22222,12.6345,7,0.389
1.76552e+09,nbs,2.5,1.11111,6.80481,3,0.389
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.37
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.37
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.349
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.326
1.76552e+09,nbs,2.5,-0.555556,-3.55942,-3,0.326
1.76552e+09,nbs,2.5,-0.833333,-5.20155,-4,0.32
1.76552e+09,nbs,2.5,-0.833333,-5.20155,-4,0.32
1.76552e+09,nbs,2.5,-0.833333,-5.20155,-4,0.32
1.76552e+09,nbs,2.5,-0.833333,-5.20155,-4,0.298
1.76552e+09,nbs,2.5,-0.555556,-3.55942,-3,0.298
1.76552e+09,nbs,2.5,-0.555556,-3.55942,-3,0.259
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.259
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.241
1.76552e+09,nbs,2.5,-0.277778,-1.81818,-2,0.241
1.76552e+09,nbs,2.5,0,0,-1,0.221
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.221
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.221
1.76552e+09,nbs,2.5,0.277778,1.81818,0,0.195
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.195
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.174
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.174
1.76552e+09,nbs,2.5,0.555556,3.55942,1,0.174
