timestamp,offset,yaw,error
1765363106.3397942,-3,-3,0
1765363106.439901,-3,-3,0
1765363106.5398176,-3,-3,0
1765363106.6399057,-3,-2,2
1765363106.7398343,-3,-2,2
1765363106.8398483,-3,-2,2
1765363106.9398112,-3,-2,2
1765363107.0399287,-3,-2,2
1765363107.139958,-3,-3,0
1765363107.2398999,-3,-3,0
1765363107.3399286,-3,-3,0
1765363107.4399073,-3,-3,0
1765363107.53986,-3,18,42
1765363107.6399736,-3,20,46
1765363107.7399755,-3,19,44
1765363107.839883,-3,15,36
1765363107.9397955,-3,11,28
1765363108.0399303,-3,9,24
1765363108.1398642,-3,7,20
1765363108.2400825,-3,6,18
1765363108.339913,-3,4,14
1765363108.439967,-3,3,12
1765363108.5399692,-3,2,10
1765363108.640103,-3,2,10
1765363108.7398336,-3,1,8
1765363108.839884,-3,1,8
1765363108.9399967,-3,0,6
1765363109.0400584,-3,0,6
1765363109.1399784,-3,0,6
1765363109.2399564,-3,-1,4
1765363109.3399396,-3,-1,4
1765363109.4400156,-3,-1,4
1765363109.5399687,-3,-1,4
1765363109.6399212,-3,-1,4
1765363109.7398515,-3,-1,4
1765363109.8399434,-3,-1,4
1765363109.940016,-3,-5,-4
1765363110.039929,-3,-11,-16
1765363110.1399837,-3,-33,-60
1765363110.2399902,-3,-33,-60
1765363110.3399425,-3,-31,-56
1765363110.4398751,-3,-24,-42
1765363110.5399501,-3,-23,-40
1765363110.6400428,-3,-21,-36
1765363110.7399487,-3,-18,-30
1765363110.8399527,-3,-17,-28
1765363110.939972,-3,-15,-24
1765363111.0399368,-3,-14,-22
1765363111.1399255,-3,-12,-18
1765363111.2398882,-3,-11,-16
1765363111.3399417,-3,-10,-14
1765363111.4400818,-3,-10,-14
1765363111.5400395,-3,-9,-12
1765363111.639906,-3,-8,-10
1765363111.7399373,-3,-6,-6
1765363111.8399923,-3,-5,-4
1765363111.9398596,-3,-5,-4
1765363112.0400002,-3,-4,-2
1765363112.1399205,-3,-3,0
1765363112.2400298,-3,-1,4
1765363112.339857,-3,26,58
1765363112.4400222,-3,31,68
1765363112.540479,-3,30,66
1765363112.6399114,-3,27,60
1765363112.7398791,-3,23,52
1765363112.8399916,-3,18,42
1765363112.94015,-3,14,34
1765363113.0399342,-3,12,30
1765363113.1399713,-3,12,30
1765363113.239901,-3,8,22
1765363113.340047,-3,7,20
1765363113.4400783,-3,7,20
1765363113.5399952,-3,5,16
1765363113.6399398,-3,4,14
1765363113.740004,-3,4,14
1765363113.8400238,-3,2,10
1765363113.9400175,-3,2,10
1765363114.039986,-3,1,8
1765363114.1400013,-3,1,8
1765363114.2399259,-3,0,6
1765363114.3399925,-3,-1,4
1765363114.4400053,-3,-1,4
1765363114.5398307,-3,-1,4
1765363114.6400974,-3,-2,2
