timestamp,kontrol_mota,factor,pos_izq,pos_der,vel_izq,vel_der,yaw,distancia,delta_v,delta_v_aplicado,angular_cmd
1765525504368,nbs,1,0,0,0,0,0,1.16,0.196171,0.196171,0.0490427
1765525504372,nbs,1,0,0,0,0,0,1.16,0.196171,0.196171,0.0490427
1765525504419,nbs,1,0,0,0,0,0,1.16,0.196171,0.196171,0.0490427
1765525504464,nbs,1,0,0,-2,-2,0,1.16,-0.130723,-0.130723,-0.0326808
1765525504518,nbs,1,-4,-3,-88,-176,0,1.16,10.2191,10.2191,2.55477
1765525504574,nbs,1,-19,-18,-232,-251,0,1.158,3.00692,3.00692,0.751731
1765525504611,nbs,1,-29,-30,-264,-307,-2,1.158,5.27291,5.27291,1.31823
1765525504692,nbs,1,-41,-47,-277,-293,-2,1.145,1.27977,1.27977,0.319941
1765525504735,nbs,1,-61,-67,-262,-274,-2,1.145,0.850617,0.850617,0.212654
1765525504793,nbs,1,-77,-80,-253,-260,-2,1.127,-0.10813,-0.10813,-0.0270326
1765525504826,nbs,1,-85,-90,-246,-252,-2,1.127,0.508967,0.508967,0.127242
1765525504863,nbs,1,-96,-101,-249,-259,-2,1.127,2.51035,2.51035,0.627588
1765525504931,nbs,1,-108,-115,-256,-255,-2,1.111,3.45884,3.45884,0.86471
1765525504973,nbs,1,-122,-127,-250,-257,-2,1.111,6.60218,6.60218,1.65055
1765525505025,nbs,1,123,118,-253,-260,-2,1.081,-2.34578,-2.34578,-0.586446
1765525505088,nbs,1,105,98,-253,-264,-2,1.081,-0.392351,-0.392351,-0.0980877
1765525505138,nbs,1,95,88,-255,-266,-2,1.081,0.0642435,0.0642435,0.0160609
1765525505185,nbs,1,81,74,-256,-251,-2,1.066,-0.986958,-0.986958,-0.24674
1765525505243,nbs,1,68,62,-261,-259,-3,1.066,-1.29366,-1.29366,-0.323415
1765525505301,nbs,1,50,43,-259,-257,-3,1.052,-1.39425,-1.39425,-0.348562
1765525505361,nbs,1,39,32,-254,-253,-2,1.052,-0.789665,-0.789665,-0.197416
1765525505409,nbs,1,23,18,-265,-254,-2,1.044,-2.24052,-2.24052,-0.560131
1765525505509,nbs,1,6,-6,-263,-254,-3,1.044,-2.94092,-2.94092,-0.735231
1765525505627,nbs,1,-19,-35,-262,-254,-2,1.008,-2.27278,-2.27278,-0.568195
1765525505692,nbs,1,-46,-50,-262,-250,-2,1,-3.03306,-3.03306,-0.758265
1765525505745,nbs,1,-63,-66,-260,-250,-1,1,-1.85449,-1.85449,-0.463623
