Generacion,Individuo,Kp,Fitness
0,0,8.1319179770484,10.7280325701228
0,1,6.67839890107343,8.90988421244884
0,2,4.09370255903365,12.3187405118067
0,3,5.45659571492996,11.2959414822959
0,4,5.78745274032469,11.3841941686607
0,5,5.00525615144562,14.5987147649515
1,0,6.67839890107343,12.038384570708
1,1,8.1319179770484,9.82143667127036
1,2,5.25230157920892,10.1088192222774
1,3,5.31477455883322,7.3045978151567
1,4,5.50528420396715,11.2157502617094
1,5,7.88169036363665,11.3902426058081
2,0,5.31477455883322,6.72736074585658
2,1,8.1319179770484,9.14072738289151
2,2,5.3318506931512,8.6478289686645
2,3,5.44732798516671,7.4171910205312
2,4,5.26865339172385,9.81225073122409
2,5,7.69080688924767,13.5508818371327
3,0,8.1319179770484,10.1569801999866
3,1,5.31477455883322,9.16665782998778
3,2,7.94243351761275,13.0774555458592
3,3,5.27103770994233,11.128487748199
…,…,…,…
